areaCode,areaName,areaType,date,newCasesBySpecimenDate
E92000001,England,nation,2022-04-28,5814
E92000001,England,nation,2022-04-27,9330
E92000001,England,nation,2022-04-26,10920
E92000001,England,nation,2022-04-25,13256
E92000001,England,nation,2022-04-24,11820
E92000001,England,nation,2022-04-23,10518
E92000001,England,nation,2022-04-22,12474
E92000001,England,nation,2022-04-21,14446
E92000001,England,nation,2022-04-20,16904
E92000001,England,nation,2022-04-19,20547
E92000001,England,nation,2022-04-18,20495
E92000001,England,nation,2022-04-17,16234
E92000001,England,nation,2022-04-16,16063
E92000001,England,nation,2022-04-15,17267
E92000001,England,nation,2022-04-14,21371
E92000001,England,nation,2022-04-13,25439
E92000001,England,nation,2022-04-12,27278
E92000001,England,nation,2022-04-11,30527
E92000001,England,nation,2022-04-10,25578
E92000001,England,nation,2022-04-09,22960
E92000001,England,nation,2022-04-08,27291
E92000001,England,nation,2022-04-07,31642
E92000001,England,nation,2022-04-06,36802
E92000001,England,nation,2022-04-05,40331
E92000001,England,nation,2022-04-04,45139
E92000001,England,nation,2022-04-03,35582
E92000001,England,nation,2022-04-02,31580
E92000001,England,nation,2022-04-01,40324
E92000001,England,nation,2022-03-31,45823
E92000001,England,nation,2022-03-30,62718
E92000001,England,nation,2022-03-29,67396
E92000001,England,nation,2022-03-28,78868
E92000001,England,nation,2022-03-27,57958
E92000001,England,nation,2022-03-26,51752
E92000001,England,nation,2022-03-25,60254
E92000001,England,nation,2022-03-24,68567
E92000001,England,nation,2022-03-23,77558
E92000001,England,nation,2022-03-22,81792
E92000001,England,nation,2022-03-21,89903
E92000001,England,nation,2022-03-20,66898
E92000001,England,nation,2022-03-19,55176
E92000001,England,nation,2022-03-18,61867
E92000001,England,nation,2022-03-17,67628
E92000001,England,nation,2022-03-16,73935
E92000001,England,nation,2022-03-15,74013
E92000001,England,nation,2022-03-14,79492
E92000001,England,nation,2022-03-13,60216
E92000001,England,nation,2022-03-12,49098
E92000001,England,nation,2022-03-11,52231
E92000001,England,nation,2022-03-10,54249
E92000001,England,nation,2022-03-09,55433
E92000001,England,nation,2022-03-08,52295
E92000001,England,nation,2022-03-07,50965
E92000001,England,nation,2022-03-06,35877
E92000001,England,nation,2022-03-05,28468
E92000001,England,nation,2022-03-04,30556
E92000001,England,nation,2022-03-03,31484
E92000001,England,nation,2022-03-02,33321
E92000001,England,nation,2022-03-01,31809
E92000001,England,nation,2022-02-28,31820
E92000001,England,nation,2022-02-27,22153
E92000001,England,nation,2022-02-26,17589
E92000001,England,nation,2022-02-25,19511
E92000001,England,nation,2022-02-24,21839
E92000001,England,nation,2022-02-23,25976
E92000001,England,nation,2022-02-22,27947
E92000001,England,nation,2022-02-21,32995
E92000001,England,nation,2022-02-20,28358
E92000001,England,nation,2022-02-19,26425
E92000001,England,nation,2022-02-18,24903
E92000001,England,nation,2022-02-17,34123
E92000001,England,nation,2022-02-16,39394
E92000001,England,nation,2022-02-15,40098
E92000001,England,nation,2022-02-14,42414
E92000001,England,nation,2022-02-13,32294
E92000001,England,nation,2022-02-12,29016
E92000001,England,nation,2022-02-11,34908
E92000001,England,nation,2022-02-10,41292
E92000001,England,nation,2022-02-09,50946
E92000001,England,nation,2022-02-08,55388
E92000001,England,nation,2022-02-07,62636
E92000001,England,nation,2022-02-06,50114
E92000001,England,nation,2022-02-05,43202
E92000001,England,nation,2022-02-04,52455
E92000001,England,nation,2022-02-03,63958
E92000001,England,nation,2022-02-02,73870
E92000001,England,nation,2022-02-01,78298
E92000001,England,nation,2022-01-31,88345
E92000001,England,nation,2022-01-30,74798
E92000001,England,nation,2022-01-29,62981
E92000001,England,nation,2022-01-28,71649
E92000001,England,nation,2022-01-27,82666
E92000001,England,nation,2022-01-26,93180
E92000001,England,nation,2022-01-25,96879
E92000001,England,nation,2022-01-24,109123
E92000001,England,nation,2022-01-23,88506
E92000001,England,nation,2022-01-22,70400
E92000001,England,nation,2022-01-21,78955
E92000001,England,nation,2022-01-20,86866
E92000001,England,nation,2022-01-19,97226
E92000001,England,nation,2022-01-18,103128
E92000001,England,nation,2022-01-17,114644
E92000001,England,nation,2022-01-16,85511
E92000001,England,nation,2022-01-15,67756
E92000001,England,nation,2022-01-14,75094
E92000001,England,nation,2022-01-13,84043
E92000001,England,nation,2022-01-12,89926
E92000001,England,nation,2022-01-11,100915
E92000001,England,nation,2022-01-10,116064
E92000001,England,nation,2022-01-09,83002
E92000001,England,nation,2022-01-08,81169
E92000001,England,nation,2022-01-07,105036
E92000001,England,nation,2022-01-06,150698
E92000001,England,nation,2022-01-05,183724
E92000001,England,nation,2022-01-04,234827
E92000001,England,nation,2022-01-03,193545
E92000001,England,nation,2022-01-02,148559
E92000001,England,nation,2022-01-01,99203
E92000001,England,nation,2021-12-31,152830
E92000001,England,nation,2021-12-30,192786
E92000001,England,nation,2021-12-29,223978
E92000001,England,nation,2021-12-28,170540
E92000001,England,nation,2021-12-27,155531
E92000001,England,nation,2021-12-26,98889
E92000001,England,nation,2021-12-25,59904
E92000001,England,nation,2021-12-24,117553
E92000001,England,nation,2021-12-23,137011
E92000001,England,nation,2021-12-22,138113
E92000001,England,nation,2021-12-21,129574
E92000001,England,nation,2021-12-20,117555
E92000001,England,nation,2021-12-19,78490
E92000001,England,nation,2021-12-18,78924
E92000001,England,nation,2021-12-17,84936
E92000001,England,nation,2021-12-16,93784
E92000001,England,nation,2021-12-15,99625
E92000001,England,nation,2021-12-14,90680
E92000001,England,nation,2021-12-13,76489
E92000001,England,nation,2021-12-12,46348
E92000001,England,nation,2021-12-11,41935
E92000001,England,nation,2021-12-10,45002
E92000001,England,nation,2021-12-09,48802
E92000001,England,nation,2021-12-08,50021
