date,tx_pos,tx_incid,TO,R,rea,hosp,rad,dchosp,incid_rea,incid_hosp,incid_rad,incid_dchosp,conf,conf_j1,pos,esms_dc,dc_tot,pos_7j,cv_dose1,esms_cas
2020-03-18,,,0.152431791221827,,771,2972,816,218,,,,,,,,,,,,
2020-03-19,,,0.221826809015421,,1002,4073,1180,327,438,2229,519,155,,,,,,,,
2020-03-20,,,0.256425464610518,,1297,5226,1587,450,242,1256,317,83,,,,,,,,
2020-03-21,,,0.301502570185844,,1453,5900,1811,525,298,1540,368,115,,,,,,,,
2020-03-22,,,0.345195729537367,,1674,6954,2117,632,309,1534,315,124,,,,,,,,
2020-03-23,,,0.411229735073151,,2080,8673,2567,860,448,2053,377,189,,,,,,,,
2020-03-24,,,0.494859628311586,,2503,10163,3281,1100,571,2618,743,244,,,,,,,,
2020-03-25,,,0.580268880980625,,2935,12072,4085,1388,607,3166,834,293,,,,,,,,
2020-03-26,,,0.662514827995255,,3351,13879,4947,1696,612,3097,888,318,,,,,,,,
2020-03-27,,,0.74298141557928,,3758,15701,5698,1995,608,3059,814,307,32964,,,,,,,
2020-03-28,,,0.837485172004745,,4236,17580,6624,2314,695,3353,969,326,37575,4611,,,,,,
2020-03-29,,,0.907868722815342,,4592,19311,7131,2606,543,2685,543,295,40174,2599,,,,,,
2020-03-30,,,0.999604586793199,,5056,20946,7923,3024,694,3108,861,423,44550,4376,,,,,,
2020-03-31,,,1.08659549228944,,5496,22672,9443,3523,767,4146,1589,526,52128,7578,,,,,,
2020-04-01,,,1.17437722419929,,5940,24543,10934,4032,771,4281,1647,516,56989,4861,,,,,,
2020-04-02,,,1.24654013444049,,6305,26131,12427,4503,728,3845,1577,524,59105,2116,,,,,,
2020-04-03,,,1.29616449189403,,6556,27302,14007,5091,640,3627,1655,606,64338,5233,,1416,6507,,,
2020-04-04,,,1.32918149466192,,6723,28003,15437,5532,502,2822,1495,448,68605,4267,,2028,7560,,,
2020-04-05,,,1.3560695927244,,6859,28747,16182,5889,390,1931,773,361,70478,1873,,2189,8078,,,
2020-04-06,,,1.37366548042705,,6948,29569,17249,6494,478,2754,1133,613,74390,3912,,2417,8911,,,
2020-04-07,,,1.38473705021748,,7004,29871,19336,7091,518,3277,2161,607,78167,3777,,3237,10328,,,
2020-04-08,,,1.38770264926849,,7019,30217,21253,7632,482,3139,2022,562,82048,3881,,3237,10869,,,
2020-04-09,,,1.37149070778964,,6937,30608,23205,8044,369,2990,2032,424,86334,4286,,4166,12210,,,
