reg;jour;pop;P;T;Ti;Tp;Td;cl_age90
01;2020-05-13;376879,00;0,00;26,00;0,00;0,00;6,90;0
01;2020-05-14;376879,00;0,00;74,00;0,00;0,00;19,63;0
01;2020-05-15;376879,00;0,00;79,00;0,00;0,00;20,96;0
01;2020-05-16;376879,00;0,00;10,00;0,00;0,00;2,65;0
01;2020-05-17;376879,00;0,00;4,00;0,00;0,00;1,06;0
01;2020-05-18;376879,00;0,00;73,00;0,00;0,00;19,37;0
01;2020-05-19;376879,00;0,00;99,00;0,00;0,00;26,27;0
01;2020-05-20;376879,00;1,00;140,00;0,27;0,71;37,15;0
01;2020-05-21;376879,00;2,00;100,00;0,53;2,00;26,53;0
01;2020-05-22;376879,00;3,00;164,00;0,80;1,83;43,52;0
01;2020-05-23;376879,00;0,00;15,00;0,00;0,00;3,98;0
01;2020-05-24;376879,00;1,00;4,00;0,27;25,00;1,06;0
01;2020-05-25;376879,00;1,00;139,00;0,27;0,72;36,88;0
01;2020-05-26;376879,00;1,00;256,00;0,27;0,39;67,93;0
01;2020-05-27;376879,00;0,00;68,00;0,00;0,00;18,04;0
01;2020-05-28;376879,00;1,00;200,00;0,27;0,50;53,07;0
01;2020-05-29;376879,00;0,00;134,00;0,00;0,00;35,56;0
01;2020-05-30;376879,00;0,00;12,00;0,00;0,00;3,18;0
01;2020-05-31;376879,00;0,00;8,00;0,00;0,00;2,12;0
01;2020-06-01;376879,00;0,00;2,00;0,00;0,00;0,53;0
01;2020-06-02;376879,00;2,00;234,00;0,53;0,85;62,09;0
01;2020-06-03;376879,00;0,00;159,00;0,00;0,00;42,19;0
01;2020-06-04;376879,00;0,00;229,00;0,00;0,00;60,76;0
01;2020-06-05;376879,00;4,00;243,00;1,06;1,65;64,48;0
01;2020-06-06;376879,00;1,00;205,00;0,27;0,49;54,39;0
01;2020-06-07;376879,00;0,00;5,00;0,00;0,00;1,33;0
01;2020-06-08;376879,00;0,00;80,00;0,00;0,00;21,23;0
01;2020-06-09;376879,00;0,00;221,00;0,00;0,00;58,64;0
01;2020-06-10;376879,00;1,00;97,00;0,27;1,03;25,74;0
01;2020-06-11;376879,00;0,00;184,00;0,00;0,00;48,82;0
01;2020-06-12;376879,00;3,00;335,00;0,80;0,90;88,89;0
01;2020-06-13;376879,00;0,00;83,00;0,00;0,00;22,02;0
01;2020-06-14;376879,00;0,00;12,00;0,00;0,00;3,18;0
01;2020-06-15;376879,00;1,00;189,00;0,27;0,53;50,15;0
01;2020-06-16;376879,00;1,00;303,00;0,27;0,33;80,40;0
01;2020-06-17;376879,00;0,00;107,00;0,00;0,00;28,39;0
01;2020-06-18;376879,00;1,00;219,00;0,27;0,46;58,11;0
01;2020-06-19;376879,00;3,00;319,00;0,80;0,94;84,64;0
01;2020-06-20;376879,00;2,00;82,00;0,53;2,44;21,76;0
01;2020-06-21;376879,00;0,00;6,00;0,00;0,00;1,59;0
01;2020-06-22;376879,00;1,00;275,00;0,27;0,36;72,97;0
01;2020-06-23;376879,00;1,00;269,00;0,27;0,37;71,38;0
01;2020-06-24;376879,00;0,00;157,00;0,00;0,00;41,66;0
01;2020-06-25;376879,00;3,00;282,00;0,80;1,06;74,83;0
01;2020-06-26;376879,00;0,00;361,00;0,00;0,00;95,79;0
01;2020-06-27;376879,00;0,00;45,00;0,00;0,00;11,94;0
01;2020-06-28;376879,00;0,00;12,00;0,00;0,00;3,18;0
01;2020-06-29;376879,00;0,00;275,00;0,00;0,00;72,97;0
01;2020-06-30;376879,00;2,00;382,00;0,53;0,52;101,36;0
01;2020-07-01;376879,00;3,00;296,00;0,80;1,01;78,54;0
01;2020-07-02;376879,00;1,00;393,00;0,27;0,25;104,28;0
01;2020-07-03;376879,00;1,00;381,00;0,27;0,26;101,09;0
01;2020-07-04;376879,00;0,00;48,00;0,00;0,00;12,74;0
01;2020-07-05;376879,00;0,00;11,00;0,00;0,00;2,92;0
01;2020-07-06;376879,00;1,00;399,00;0,27;0,25;105,87;0
01;2020-07-07;376879,00;1,00;475,00;0,27;0,21;126,04;0
01;2020-07-08;376879,00;0,00;398,00;0,00;0,00;105,60;0
01;2020-07-09;376879,00;1,00;443,00;0,27;0,23;117,54;0
01;2020-07-10;376879,00;1,00;598,00;0,27;0,17;158,67;0
01;2020-07-11;376879,00;2,00;120,00;0,53;1,67;31,84;0
01;2020-07-12;376879,00;2,00;19,00;0,53;10,53;5,04;0
01;2020-07-13;376879,00;2,00;544,00;0,53;0,37;144,34;0
01;2020-07-14;376879,00;0,00;38,00;0,00;0,00;10,08;0
01;2020-07-15;376879,00;2,00;442,00;0,53;0,45;117,28;0
01;2020-07-16;376879,00;1,00;487,00;0,27;0,21;129,22;0
01;2020-07-17;376879,00;4,00;582,00;1,06;0,69;154,43;0
01;2020-07-18;376879,00;1,00;128,00;0,27;0,78;33,96;0
01;2020-07-19;376879,00;0,00;19,00;0,00;0,00;5,04;0
01;2020-07-20;376879,00;0,00;445,00;0,00;0,00;118,08;0
01;2020-07-21;376879,00;1,00;302,00;0,27;0,33;80,13;0
01;2020-07-22;376879,00;1,00;188,00;0,27;0,53;49,88;0
01;2020-07-23;376879,00;5,00;339,00;1,33;1,47;89,95;0
01;2020-07-24;376879,00;6,00;358,00;1,59;1,68;94,99;0
01;2020-07-25;376879,00;1,00;123,00;0,27;0,81;32,64;0
01;2020-07-26;376879,00;0,00;53,00;0,00;0,00;14,06;0
01;2020-07-27;376879,00;26,00;524,00;6,90;4,96;139,04;0
01;2020-07-28;376879,00;21,00;647,00;5,57;3,25;171,67;0
01;2020-07-29;376879,00;2,00;530,00;0,53;0,38;140,63;0
01;2020-07-30;376879,00;2,00;693,00;0,53;0,29;183,88;0
01;2020-07-31;376879,00;3,00;410,00;0,80;0,73;108,79;0
01;2020-08-01;376879,00;4,00;173,00;1,06;2,31;45,90;0
01;2020-08-02;376879,00;1,00;75,00;0,27;1,33;19,90;0
01;2020-08-03;376879,00;8,00;738,00;2,12;1,08;195,82;0
01;2020-08-04;376879,00;4,00;571,00;1,06;0,70;151,51;0
01;2020-08-05;376879,00;3,00;480,00;0,80;0,62;127,36;0
01;2020-08-06;376879,00;18,00;462,00;4,78;3,90;122,59;0
01;2020-08-07;376879,00;6,00;557,00;1,59;1,08;147,79;0
01;2020-08-08;376879,00;7,00;258,00;1,86;2,71;68,46;0
01;2020-08-09;376879,00;5,00;105,00;1,33;4,76;27,86;0
01;2020-08-10;376879,00;21,00;887,00;5,57;2,37;235,35;0
01;2020-08-11;376879,00;38,00;609,00;10,08;6,24;161,59;0
01;2020-08-12;376879,00;23,00;690,00;6,10;3,33;183,08;0
01;2020-08-13;376879,00;53,00;1174,00;14,06;4,51;311,51;0
01;2020-08-14;376879,00;26,00;853,00;6,90;3,05;226,33;0
01;2020-08-15;376879,00;10,00;205,00;2,65;4,88;54,39;0
01;2020-08-16;376879,00;9,00;97,00;2,39;9,28;25,74;0
01;2020-08-17;376879,00;77,00;1275,00;20,43;6,04;338,30;0
01;2020-08-18;376879,00;72,00;1211,00;19,10;5,95;321,32;0
01;2020-08-19;376879,00;68,00;1137,00;18,04;5,98;301,69;0
01;2020-08-20;376879,00;73,00;1260,00;19,37;5,79;334,32;0
01;2020-08-21;376879,00;25,00;797,00;6,63;3,14;211,47;0
01;2020-08-22;376879,00;7,00;381,00;1,86;1,84;101,09;0
01;2020-08-23;376879,00;12,00;196,00;3,18;6,12;52,01;0
01;2020-08-24;376879,00;152,00;1630,00;40,33;9,33;432,50;0
01;2020-08-25;376879,00;144,00;1241,00;38,21;11,60;329,28;0
01;2020-08-26;376879,00;135,00;1361,00;35,82;9,92;361,12;0
01;2020-08-27;376879,00;139,00;1310,00;36,88;10,61;347,59;0
01;2020-08-28;376879,00;45,00;952,00;11,94;4,73;252,60;0
01;2020-08-29;376879,00;19,00;349,00;5,04;5,44;92,60;0
01;2020-08-30;376879,00;20,00;129,00;5,31;15,50;34,23;0
01;2020-08-31;376879,00;230,00;1155,00;61,03;19,91;306,46;0
01;2020-09-01;376879,00;168,00;1036,00;44,58;16,22;274,89;0
01;2020-09-02;376879,00;192,00;905,00;50,94;21,22;240,13;0
01;2020-09-03;376879,00;154,00;1225,00;40,86;12,57;325,04;0
01;2020-09-04;376879,00;97,00;740,00;25,74;13,11;196,35;0
01;2020-09-05;376879,00;21,00;210,00;5,57;10,00;55,72;0
01;2020-09-06;376879,00;17,00;90,00;4,51;18,89;23,88;0
01;2020-09-07;376879,00;202,00;1146,00;53,60;17,63;304,08;0
01;2020-09-08;376879,00;224,00;1008,00;59,44;22,22;267,46;0
01;2020-09-09;376879,00;181,00;1060,00;48,03;17,08;281,26;0
01;2020-09-10;376879,00;203,00;1153,00;53,86;17,61;305,93;0
01;2020-09-11;376879,00;76,00;643,00;20,17;11,82;170,61;0
01;2020-09-12;376879,00;51,00;210,00;13,53;24,29;55,72;0
01;2020-09-13;376879,00;28,00;97,00;7,43;28,87;25,74;0
01;2020-09-14;376879,00;254,00;1357,00;67,40;18,72;360,06;0
01;2020-09-15;376879,00;233,00;1155,00;61,82;20,17;306,46;0
01;2020-09-16;376879,00;236,00;1117,00;62,62;21,13;296,38;0
01;2020-09-17;376879,00;228,00;1136,00;60,50;20,07;301,42;0
01;2020-09-18;376879,00;113,00;663,00;29,98;17,04;175,92;0
01;2020-09-19;376879,00;28,00;178,00;7,43;15,73;47,23;0
01;2020-09-20;376879,00;42,00;160,00;11,14;26,25;42,45;0
01;2020-09-21;376879,00;299,00;1256,00;79,34;23,81;333,26;0
01;2020-09-22;376879,00;244,00;1172,00;64,74;20,82;310,98;0
01;2020-09-23;376879,00;174,00;921,00;46,17;18,89;244,38;0
01;2020-09-24;376879,00;192,00;1204,00;50,94;15,95;319,47;0
01;2020-09-25;376879,00;109,00;630,00;28,92;17,30;167,16;0
01;2020-09-26;376879,00;31,00;194,00;8,23;15,98;51,48;0
01;2020-09-27;376879,00;22,00;125,00;5,84;17,60;33,17;0
01;2020-09-28;376879,00;220,00;1119,00;58,37;19,66;296,91;0
01;2020-09-29;376879,00;157,00;1005,00;41,66;15,62;266,66;0
01;2020-09-30;376879,00;161,00;902,00;42,72;17,85;239,33;0
01;2020-10-01;376879,00;150,00;892,00;39,80;16,82;236,68;0
01;2020-10-02;376879,00;67,00;521,00;17,78;12,86;138,24;0
01;2020-10-03;376879,00;27,00;172,00;7,16;15,70;45,64;0
01;2020-10-04;376879,00;27,00;121,00;7,16;22,31;32,11;0
01;2020-10-05;376879,00;133,00;879,00;35,29;15,13;233,23;0
01;2020-10-06;376879,00;122,00;724,00;32,37;16,85;192,10;0
01;2020-10-07;376879,00;85,00;644,00;22,55;13,20;170,88;0
01;2020-10-08;376879,00;135,00;774,00;35,82;17,44;205,37;0
01;2020-10-09;376879,00;71,00;546,00;18,84;13,00;144,87;0
01;2020-10-10;376879,00;33,00;189,00;8,76;17,46;50,15;0
01;2020-10-11;376879,00;15,00;99,00;3,98;15,15;26,27;0
01;2020-10-12;376879,00;96,00;764,00;25,47;12,57;202,72;0
01;2020-10-13;376879,00;91,00;709,00;24,15;12,83;188,12;0
01;2020-10-14;376879,00;65,00;583,00;17,25;11,15;154,69;0
01;2020-10-15;376879,00;81,00;695,00;21,49;11,65;184,41;0
01;2020-10-16;376879,00;37,00;435,00;9,82;8,51;115,42;0
01;2020-10-17;376879,00;15,00;161,00;3,98;9,32;42,72;0
01;2020-10-18;376879,00;10,00;116,00;2,65;8,62;30,78;0
