date;vac_statut;nb_PCR;nb_PCR_sympt;nb_PCR+;nb_PCR+_sympt;HC;HC_PCR+;SC;SC_PCR+;DC;DC_PCR+;effectif
2021-06-01;Primo dose récente;14697.98;1422.35;503.18;237.84;21.42;13.38;5.14;2.2;0.0;0.0;4931092.83
2021-06-01;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.84
2021-06-01;Complet de 6 mois ou plus - sans rappel;0.02;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02
2021-06-02;Non-vaccinés;133042.0;16126.89;5817.81;2140.82;269.29;201.22;59.3;48.43;31.73;18.82;40770950.21
2021-06-03;Non-vaccinés;141136.96;15124.48;5444.77;1879.09;223.29;157.92;56.89;44.16;22.64;17.15;40355806.49
2021-06-03;Primo dose récente;17874.91;1179.18;406.91;161.71;10.8;8.54;4.77;4.17;0.07;0.07;4855651.28
2021-06-03;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.83
2021-06-04;Primo dose récente;19407.54;979.29;389.86;159.83;11.93;10.37;4.78;2.52;0.0;0.0;4814078.45
2021-06-04;Complet entre 3 mois et 6 mois - sans rappel;8073.78;375.55;57.91;11.36;4.16;1.53;0.5;0.47;2.77;2.39;1775493.4
2021-06-04;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.83
2021-06-05;Complet de moins de 3 mois - sans rappel;23447.99;809.09;301.94;73.14;20.01;10.57;7.82;4.63;3.35;3.19;9632680.76
2021-06-05;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.82
2021-06-06;Non-vaccinés;18748.6;1731.49;705.07;237.77;140.3;92.07;47.98;35.19;22.17;16.98;39141993.81
2021-06-06;Primo dose efficace;6534.18;369.27;71.91;19.98;13.68;9.59;6.39;3.94;6.0;5.6;11909149.37
2021-06-07;Complet entre 3 mois et 6 mois - sans rappel;9784.64;396.57;85.41;14.38;4.5;4.05;1.79;0.64;2.2;1.94;1870050.2
2021-06-08;Primo dose efficace;38444.49;2426.05;238.25;60.27;28.2;23.62;5.76;4.56;3.96;2.65;12067086.2
2021-06-08;Complet de moins de 3 mois - sans rappel;32949.83;1536.98;402.21;105.24;32.13;19.75;4.22;3.44;2.43;2.2;9990750.68
2021-06-09;Primo dose récente;14916.63;857.34;232.15;94.55;13.26;8.86;2.82;2.13;0.0;0.0;4774540.47
2021-06-10;Primo dose récente;17066.99;895.51;226.03;99.9;15.31;6.36;4.39;2.84;0.0;0.0;4743123.82
2021-06-10;Primo dose efficace;42457.9;2077.99;219.03;58.43;16.81;11.17;4.57;3.02;8.77;8.31;12327168.64
2021-06-10;Complet entre 3 mois et 6 mois - sans rappel;6909.05;311.96;51.49;8.42;6.46;2.72;1.28;1.16;1.8;1.54;2036597.13
2021-06-10;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8
2021-06-10;Complet de 6 mois ou plus - sans rappel;0.02;0.02;0.02;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.02
2021-06-11;Primo dose efficace;47811.29;1849.11;231.66;53.51;14.05;10.49;5.22;3.45;10.01;8.09;12473925.94
2021-06-12;Non-vaccinés;62839.99;4351.39;1736.28;480.68;139.51;98.96;41.57;35.32;12.56;9.45;37122672.32
2021-06-12;Primo dose récente;9037.05;341.05;103.17;29.89;6.2;2.82;2.36;2.32;0.0;0.0;4648434.4
2021-06-12;Primo dose efficace;26766.73;967.73;126.75;30.95;14.33;9.72;5.15;1.82;4.52;3.05;12544689.3
2021-06-12;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8
2021-06-13;Non-vaccinés;16523.16;1284.04;436.16;114.27;115.81;82.91;25.71;19.19;11.51;8.35;36842527.64
2021-06-14;Primo dose récente;15007.07;858.27;210.82;91.64;10.6;7.72;2.97;2.41;0.0;0.0;4625226.48
2021-06-14;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.79
2021-06-15;Non-vaccinés;92827.96;9142.69;2394.69;756.7;138.06;106.31;34.37;24.42;19.9;14.2;36502030.3
2021-06-15;Primo dose récente;11599.57;737.59;157.39;52.34;8.51;5.89;0.08;0.0;0.0;0.0;4505990.28
2021-06-15;Primo dose efficace;36212.39;1921.59;176.98;32.68;13.33;11.54;2.54;1.25;6.11;4.93;12731681.22
2021-06-15;Complet de moins de 3 mois - sans rappel;34524.49;1365.86;257.75;61.97;16.6;13.1;0.97;0.33;2.99;2.41;11479114.37
2021-06-15;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.79
2021-06-16;Primo dose efficace;39390.14;1857.65;163.85;35.9;15.94;8.9;7.02;6.43;4.56;3.4;12821857.9
2021-06-16;Complet de moins de 3 mois - sans rappel;32855.56;1305.85;269.08;77.49;24.73;18.07;4.74;2.07;4.21;2.4;11776687.17
